country,count
United States,2421
India,753
United Kingdom,559
Unknown,427
Canada,300
France,255
Japan,216
Spain,173
South Korea,155
Germany,135
Mexico,122
Australia,121
China,117
Hong Kong,96
Turkey,86
Taiwan,73
Argentina,66
Belgium,63
Brazil,63
Italy,63
Thailand,56
Egypt,53
Indonesia,50
Philippines,46
Denmark,37
Colombia,36
Netherlands,36
Ireland,33
Sweden,32
Singapore,29
Nigeria,26
South Africa,26
Israel,25
Poland,25
Chile,23
Pakistan,23
Russia,21
United Arab Emirates,21
New Zealand,21
Malaysia,20
Norway,20
Czech Republic,15
Switzerland,15
Lebanon,9
Peru,9
Austria,9
Finland,8
Greece,8
Uruguay,8
Luxembourg,7
Bulgaria,7
Iceland,6
Qatar,6
Jordan,6
Morocco,6
Romania,5
West Germany,4
Serbia,4
Iran,4
Vietnam,4
Croatia,4
Portugal,4
Hungary,4
Slovenia,3
Venezuela,3
Soviet Union,3
Cambodia,3
Ukraine,3
Zimbabwe,2
Saudi Arabia,2
Georgia,2
Dominican Republic,2
Iraq,2
Bangladesh,2
Nepal,2
Malta,2
Senegal,2
Botswana,1
Armenia,1
Mongolia,1
Panama,1
Latvia,1
Slovakia,1
Samoa,1
Vatican City,1
Sri Lanka,1
Afghanistan,1
Azerbaijan,1
Cuba,1
Kazakhstan,1
Montenegro,1
Bermuda,1
Nicaragua,1
Liechtenstein,1
Syria,1
Cayman Islands,1
Uganda,1
Paraguay,1
Albania,1
Malawi,1
Kuwait,1
Namibia,1
Ghana,1
Cyprus,1
Guatemala,1
Somalia,1
Kenya,1
Sudan,1
Ecuador,1
