Movie,IMDB_Rating,director
3 Idiots,8.4,Rajkumar Hirani
50/50,7.6,Jonathan Levine
About Time,7.8,Richard Curtis
American History X,8.5,Tony Kaye
American Psycho,7.6,Mary Harron
Avengers: Infinity War,8.4,"Anthony Russo, Joe Russo"
Beasts of No Nation,7.7,Cary Joji Fukunaga
Billy Elliot,7.7,Stephen Daldry
Black Hawk Down,7.7,Ridley Scott
Blow,7.6,Ted Demme
Cat on a Hot Tin Roof,8.0,Richard Brooks
Coraline,7.7,Henry Selick
Crash,7.7,Paul Haggis
Dallas Buyers Club,8.0,Jean-Marc Vallée
District 9,7.9,Neill Blomkamp
Doctor Zhivago,8.0,David Lean
Drive,7.8,Nicolas Winding Refn
Drive,7.8,Tarun Mansukhani
End of Watch,7.6,David Ayer
Enter the Dragon,7.7,Robert Clouse
Ex Machina,7.7,Alex Garland
Fear and Loathing in Las Vegas,7.6,Terry Gilliam
God's Own Country,7.7,Francis Lee
Hell or High Water,7.6,David Mackenzie
Her,8.0,Spike Jonze
"I, Daniel Blake",7.9,Ken Loach
Indiana Jones and the Last Crusade,8.2,Steven Spielberg
Inglourious Basterds,8.3,Quentin Tarantino
Joker,8.5,Shirish Kunder
"Lock, Stock and Two Smoking Barrels",8.2,Guy Ritchie
Monty Python and the Holy Grail,8.2,"Terry Gilliam, Terry Jones"
Mystic River,7.9,Clint Eastwood
Naked,7.8,Michael Tiddes
Ocean's Eleven,7.7,Lewis Milestone
Once Upon a Time in the West,8.5,Sergio Leone
Philadelphia,7.7,Jonathan Demme
Pulp Fiction,8.9,Quentin Tarantino
Raging Bull,8.2,Martin Scorsese
Rain Man,8.0,Barry Levinson
Rocky,8.1,John G. Avildsen
Room,8.1,Lenny Abrahamson
Schindler's List,8.9,Steven Spielberg
Seven Pounds,7.6,Gabriele Muccino
Sherlock Holmes,7.6,Guy Ritchie
Short Term 12,8.0,Destin Daniel Cretton
Sin City,8.0,"Robert Rodriguez, Frank Miller"
Sling Blade,8.0,Billy Bob Thornton
Spider-Man: Into the Spider-Verse,8.4,"Peter Ramsey, Rodney Rothman, Bob Persichetti"
Taxi Driver,8.3,Martin Scorsese
The Fighter,7.8,David O. Russell
The Game,7.8,David Fincher
The Hateful Eight,7.8,Quentin Tarantino
The Innocents,7.8,Anne Fontaine
The Irishman,7.9,Martin Scorsese
The King's Speech,8.0,Tom Hooper
The Little Mermaid,7.6,"Blake Harris, Chris Bouchard"
The Lives of Others,8.4,Florian Henckel von Donnersmarck
The Matrix,8.7,"Lilly Wachowski, Lana Wachowski"
The Pursuit of Happyness,8.0,Gabriele Muccino
The Theory of Everything,7.7,James Marsh
Thor: Ragnarok,7.9,Taika Waititi
Trainspotting,8.1,Danny Boyle
V for Vendetta,8.2,James McTeigue
What's Eating Gilbert Grape,7.8,Lasse Hallström
Zodiac,7.7,David Fincher
Zombieland,7.6,Ruben Fleischer
