country,count
Black Mirror: Bandersnatch,312
Lagaan,224
Jodhaa Akbar,214
The Irishman,209
The Gospel of Luke,205
What's Your Raashee?,203
Doctor Zhivago,200
Elephants Dream 4 Hour,196
Schindler's List,195
Hum Aapke Hain Koun,193
Maine Pyar Kiya,192
The Gospel of Matthew,190
Pardes,187
Mutiny on the Bounty,185
Swades,185
King of Boys,182
Blue Is the Warmest Color,180
Happy New Year,179
Manu,177
Taal,177
Raja Hindustani,177
Dil Hai Tumhaara,176
Hum Saath-Saath Hain,176
Super Deluxe,176
Trimurti,173
Sairat,173
Cloud Atlas,172
Kabir Singh,171
Main Hoon Na,171
Yaadein,171
Petta (Telugu Version),170
Khalnayak,170
Petta,170
Ho Mann Jahaan,170
Om Shanti Om,169
Shakti: The Power,168
The Hateful Eight,168
A Fortunate Man,168
Asoka,168
Mohenjo Daro,168
Gangs of New York,167
Baahubali 2: The Conclusion (Malayalam Version),166
Chalte Chalte,166
Baahubali 2: The Conclusion (Tamil Version),166
Once Upon a Time in the West,166
Dil Se,166
Barsaat,166
Kyun! Ho Gaya Na,165
Baahubali 2: The Conclusion (Hindi Version),165
Pukar,165
