country,count
NCIS,15
Grey's Anatomy,15
Supernatural,14
COMEDIANS of the world,13
Red vs. Blue,13
Criminal Minds,12
Trailer Park Boys,12
Heartland,11
Cheers,11
Frasier,11
Dad's Army,10
Friends,10
Danger Mouse: Classic Collection,10
LEGO Ninjago: Masters of Spinjitzu,9
Shameless (U.S.),9
Forensic Files,9
Naruto,9
The Walking Dead,9
The Office (U.S.),9
Club Friday The Series 6,9
That '70s Show,8
Voltron: Legendary Defender,8
My Little Pony: Friendship Is Magic,8
The Andy Griffith Show,8
Club Friday The Series 8,8
Charmed,8
Royal Pains,8
Spirit: Riding Free,8
Portlandia,8
Under Arrest,8
American Horror Story,8
Trolls: The Beat Goes On!,8
The Vampire Diaries,8
Call the Midwife,8
Dexter,8
Weeds,8
Once Upon a Time,7
The West Wing,7
Wentworth,7
Nurse Jackie,7
Orange Is the New Black,7
The Great British Baking Show,7
Club Friday The Series 7,7
New Girl,7
The Ranch,7
Arrow,7
Kopitiam,7
Still Game,7
Parks and Recreation,7
Scandal,7
Gilmore Girls,7
Star Trek: Deep Space Nine,7
Offspring,7
Skins,7
Mad Men,7
Star Trek: The Next Generation,7
Star Trek: Voyager,7
Terrace House: Opening New Doors,6
Project Mc²,6
The L Word,6
Glee,6
Comedians in Cars Getting Coffee,6
Longmire,6
El señor de los Cielos,6
West Coast Customs,6
Dragons: Race to the Edge,6
Gossip Girl,6
BoJack Horseman,6
Chef's Table,6
Marvel's Agents of S.H.I.E.L.D.,6
Johnny Test,6
Kath and Kim,6
The 100,6
Republic of Doyle,6
Father Brown,6
The Blacklist,6
The Adventures of Puss in Boots,6
House of Cards,6
Total Drama,5
Resurrection: Ertugrul,5
How to Get Away with Murder,5
The Mind of a Chef,5
Comedy Bang! Bang!,5
All Hail King Julien,5
Madam Secretary,5
Pee-wee's Playhouse,5
Young & Hungry,5
Bates Motel,5
Lost Girl,5
Goosebumps,5
Anthony Bourdain: Parts Unknown,5
The Flash,5
Gotham,5
When Calls the Heart,5
Schitt's Creek,5
Black Mirror,5
Ever After High,5
Girlfriends' Guide to Divorce,5
Jane The Virgin,5
Jeopardy!,5
